HEADER,SAMPLE,4
HEADER,HEURISTICS,EXPERIENCE,0.5,CURIOSITY,0.25,ACHIEVEMENT,0.7,COMPLETION,0.25,AGGRESSION,0.15,ADRENALINE,0,CAUTION,1,EFFICIENCY,0,
HEADER,Low,1,Med,1,High,1,
POSITION,20.75611,50.91579,0.231843,-4.738718,0,61.07619,0,100
POSITION,21.0764,51.90272,0.231843,-4.207085,0,61.56243,0,100
POSITION,21.25412,52.45032,0.231843,-3.912108,0,61.63296,0,100
POSITION,21.5056,53.22523,0.231843,-3.494691,0,61.6717,0,100
POSITION,21.75518,53.9943,0.231843,-3.080414,0,61.68407,0,100
POSITION,22.00434,54.76207,0.231843,-2.666842,0,61.68806,0,100
POSITION,22.25525,55.54078,0.231843,-2.260978,0,62.3853,0,100
POSITION,22.50766,56.3298,0.231843,-1.863545,0,62.986,0,100
POSITION,22.75714,57.10964,0.231843,-1.47074,0,63.17538,0,100
POSITION,23.00431,57.88226,0.231843,-1.081562,0,63.236,0,100
POSITION,23.2574,58.67338,0.231843,-0.6830719,0,63.25594,0,100
POSITION,23.5065,59.45201,0.231843,-0.2908652,0,63.2622,0,100
POSITION,23.75674,60.2342,0.231843,0.1031305,0,63.26424,0,100
POSITION,24.01199,61.03206,0.231843,0.5050251,0,63.26493,0,100
POSITION,24.25716,61.79843,0.231843,0.891045,0,63.26502,0,100
POSITION,24.50745,62.5808,0.231843,1.285137,0,63.26503,0,100
POSITION,24.75757,63.36296,0.231843,1.678321,0,63.31188,0,100
POSITION,25.0066,64.14244,0.231843,2.06834,0,63.38391,0,100
POSITION,25.25758,64.92803,0.231843,2.461421,0,63.40721,0,100
POSITION,25.50609,65.70587,0.231843,2.850628,0,63.41461,0,100
POSITION,25.75707,66.49148,0.231843,3.24372,0,63.41706,0,100
POSITION,26.00633,67.27168,0.231843,3.6341,0,63.41781,0,100
POSITION,26.25775,68.05071,0.231843,4.023893,0,68.8064,0,100
POSITION,26.50694,68.52532,0.231843,4.261355,0,98.6116,0,100
POSITION,26.75581,68.59698,0.231843,4.297217,0,123.249,0,100
POSITION,27.01133,68.59698,0.231843,4.297217,0,123.249,0,100
POSITION,27.25406,68.59698,0.231843,4.297217,0,114.6985,0,100
POSITION,27.50575,68.59698,0.231843,4.297217,0,54.03964,0,100
POSITION,27.75898,68.59698,0.231843,4.297217,0,4.20894,0,100
POSITION,28.00875,68.59698,0.231843,4.297217,0,4.20894,0,100
POSITION,28.25894,68.59698,0.231843,4.297217,0,7.942142,0,100
POSITION,28.5084,68.59698,0.231843,4.297217,0,37.97308,0,100
POSITION,28.75474,68.60099,0.231843,4.299229,0,62.82304,0,100
POSITION,29.0093,68.89301,0.231843,4.445345,0,63.09043,0,100
POSITION,29.25838,69.59167,0.231843,4.794948,0,63.30352,0,100
POSITION,29.5051,70.36391,0.231843,5.181355,0,63.38086,0,100
POSITION,29.75774,71.15485,0.231843,5.576506,0,63.48747,0,100
POSITION,30.00702,71.98807,0.231843,5.827981,0,70.73965,0,100
POSITION,30.25419,72.82306,0.231843,6.054343,0,73.49946,0,100
POSITION,30.52423,73.73524,0.231843,6.301636,0,74.44814,0,100
POSITION,30.75711,74.52199,0.231843,6.514914,0,74.69856,0,100
POSITION,31.00718,75.36671,0.231843,6.74392,0,74.78895,0,100
POSITION,31.30279,76.36528,0.231843,7.014638,0,74.82094,0,100
POSITION,31.552,77.20714,0.231843,7.242863,0,74.82853,0,100
POSITION,31.77989,77.97697,0.231843,7.451561,0,74.83072,0,100
POSITION,32.03052,78.82358,0.231843,7.681079,0,74.83157,0,100
POSITION,32.28754,79.69548,0.231843,7.902337,0,75.68726,0,100
POSITION,32.50426,80.43233,0.231843,8.082138,0,76.07067,0,100
POSITION,32.75653,81.29015,0.231843,8.291447,0,76.21819,0,100
POSITION,33.00713,82.14229,0.231843,8.499381,0,76.26488,0,100
POSITION,33.2552,82.9857,0.231843,8.705194,0,76.27979,0,100
POSITION,33.50664,83.84062,0.231843,8.913809,0,76.28469,0,100
POSITION,33.75612,84.68887,0.231843,9.120795,0,76.28628,0,100
POSITION,34.006,85.53853,0.231843,9.328121,0,76.28674,0,100
POSITION,34.25689,86.39165,0.231843,9.536293,0,76.28678,0,100
POSITION,34.50439,87.23325,0.231843,9.741653,0,76.28678,0,100
POSITION,34.75412,88.08232,0.231843,9.948844,0,76.28681,0,100
POSITION,35.00697,88.94201,0.231843,10.15862,0,76.28683,0,100
POSITION,35.2552,89.7771,0.231843,10.36239,0,76.28687,0,100
POSITION,35.50634,89.88673,0.231843,10.38915,0,76.28701,0,100
POSITION,35.76502,89.88537,0.231843,10.38741,0,84.7869,0,100
POSITION,36.0054,89.66032,0.231843,10.10242,0,113.6315,0,100
POSITION,36.25389,89.17745,0.231843,9.490983,0,143.4492,0,100
POSITION,36.5062,88.69001,0.231843,8.821789,0,173.7258,0,100
POSITION,36.75459,88.61111,0.231843,8.332981,0,179.4868,0,100
POSITION,37.01078,88.99499,0.231843,8.051822,0,152.3904,0,100
POSITION,37.25807,89.77311,0.231843,8.001112,0,122.7153,0,100
POSITION,37.50467,90.63624,0.231843,8.000958,0,100.8388,0,100
POSITION,37.75655,91.51785,0.231843,8.000798,0,93.4492,0,100
POSITION,38.00629,92.39197,0.231843,8.000642,0,91.11407,0,100
POSITION,38.28037,93.3513,0.231843,8.000471,0,90.32019,0,100
POSITION,38.51449,94.1707,0.231843,8.000325,0,90.11178,0,100
POSITION,38.75533,95.0136,0.231843,8.000171,0,90.04407,0,100
POSITION,39.01033,95.83195,0.231843,8.244433,0,76.14291,0,100
POSITION,39.26047,96.55594,0.231843,8.7367,0,62.24229,0,100
POSITION,39.50644,97.26779,0.231843,9.220837,0,57.88971,0,100
POSITION,39.75802,97.9959,0.231843,9.716019,0,56.45012,0,100
POSITION,40.00906,98.72243,0.231843,10.21012,0,55.99314,0,100
POSITION,40.25623,99.43781,0.231843,10.69664,0,55.8493,0,100
POSITION,40.50562,100.1596,0.231843,11.18755,0,55.80238,0,100
POSITION,40.75964,100.8947,0.231843,11.68752,0,55.7872,0,100
POSITION,41.00813,101.6139,0.231843,12.17661,0,55.78234,0,100
INTERACTION,41.14461,Bag_01_Purple (2),102.8306,0.8279018,13.00409,100
POSITION,41.25957,102.3442,0.231843,12.66256,0,59.11599,0,100
POSITION,41.50529,103.1643,0.231843,12.7676,0,76.77533,0,100
POSITION,41.75571,104.0399,0.231843,12.72873,0,87.48582,0,100
POSITION,42.00829,104.9231,0.231843,12.68952,0,90.93849,0,100
POSITION,42.26684,105.8271,0.231843,12.64939,0,92.05085,0,100
POSITION,42.50807,106.6707,0.231843,12.61194,0,92.37803,0,100
POSITION,42.75841,107.5461,0.231843,12.57309,0,92.48949,0,100
POSITION,43.00603,108.4118,0.231843,12.53465,0,92.52494,0,100
POSITION,43.25813,109.2933,0.231843,12.49552,0,92.53651,0,100
POSITION,43.5077,110.1659,0.231843,12.45678,0,92.54016,0,100
POSITION,43.75523,111.0281,0.231843,12.41851,0,95.93077,0,100
POSITION,44.00774,111.5968,0.231843,12.39326,0,126.2908,0,100
POSITION,44.25829,111.6936,0.231843,12.38896,0,152.241,0,100
POSITION,44.509,111.6936,0.231843,12.38896,0,152.241,0,100
POSITION,44.75859,111.6936,0.231843,12.38896,0,146.3494,0,100
POSITION,45.01027,111.6936,0.231843,12.38896,0,86.44286,0,100
POSITION,45.25977,111.6936,0.231843,12.38896,0,33.80045,0,100
POSITION,45.50796,111.6936,0.231843,12.38896,0,33.80045,0,100
POSITION,45.76036,111.6936,0.231843,12.38896,0,35.38385,0,100
POSITION,46.00819,111.6936,0.231843,12.38896,0,64.82811,0,100
POSITION,46.25594,111.6935,0.231843,12.38767,0,94.58514,0,100
POSITION,46.50814,111.6822,0.231843,12.09851,0,124.6357,0,100
POSITION,46.7568,111.6525,0.231843,11.34087,0,154.4769,0,100
POSITION,47.0114,111.6177,0.231843,10.45044,0,173.5186,0,100
POSITION,47.25728,111.5841,0.231843,9.590523,0,179.4074,0,100
POSITION,47.51038,111.4304,0.231843,8.743414,0,190.6182,0,100
POSITION,47.75988,110.9355,0.231843,8.030457,0,207.4651,0,100
POSITION,48.01566,110.4084,0.231843,7.306791,0,213.4028,0,100
POSITION,48.26424,109.8962,0.231843,6.603475,0,215.2149,0,100
POSITION,48.5103,109.3892,0.231843,5.907359,0,215.7906,0,100
POSITION,48.76131,108.8719,0.231843,5.197165,0,215.9788,0,100
POSITION,49.0086,108.4009,0.231843,4.483718,0,213.1468,0,100
POSITION,49.26373,108.2777,0.231843,3.621726,0,194.4498,0,100
POSITION,49.50816,108.2465,0.231843,2.766779,0,186.1245,0,100
POSITION,49.7565,108.2149,0.231843,1.898158,0,183.3874,0,100
POSITION,50.00887,108.1827,0.231843,1.015407,0,182.4978,0,100
POSITION,50.25618,108.1512,0.231843,0.1503976,0,182.2192,0,100
POSITION,50.50699,108.1192,0.231843,-0.7268295,0,182.1286,0,100
POSITION,50.76509,108.0864,0.231843,-1.629584,0,182.0993,0,100
POSITION,51.01541,108.0545,0.231843,-2.505082,0,182.0905,0,100
POSITION,51.26009,107.9878,0.231843,-3.352548,0,184.6927,0,100
POSITION,51.50734,107.6468,0.231843,-4.143195,0,197.7772,0,100
POSITION,51.75576,107.2808,0.231843,-4.931842,0,202.6013,0,100
POSITION,52.00625,106.9117,0.231843,-5.727075,0,204.1638,0,100
POSITION,52.25623,106.5433,0.231843,-6.520696,0,204.6631,0,100
