HEADER,SAMPLE,4
HEADER,HEURISTICS,EXPERIENCE,0.02642655,CURIOSITY,0.1248174,ACHIEVEMENT,0.3682173,COMPLETION,0.1202933,AGGRESSION,0.4075357,ADRENALINE,0.1033018,CAUTION,0.6196374,EFFICIENCY,0.4939901,
HEADER,Low,1,Med,1,High,1,
POSITION,0.02,0,0.231843,0,0,316.434,0,100
POSITION,0.2574647,0,0.231843,0,0,316.434,0,100
POSITION,0.5057428,0,0.231843,0,0,316.434,0,100
POSITION,0.7609015,-0.2300414,0.231843,-0.04779199,0,305.0435,0,100
POSITION,1.008121,-0.5932428,0.231843,0.03863136,0,326.339,0,100
POSITION,1.255708,-0.6143389,0.231843,0.04364549,0,355.9176,0,100
POSITION,1.505202,-0.6143389,0.231843,0.04364549,0,2.299753,0,100
POSITION,1.755753,-0.6143389,0.231843,0.04364549,0,2.299753,0,100
POSITION,2.007532,-0.6143389,0.231843,0.04364549,0,325.6002,0,100
POSITION,2.264411,-0.6143389,0.231843,0.04364549,0,268.2649,0,100
POSITION,2.508473,-0.6143389,0.231843,0.04364549,0,243.3167,0,100
POSITION,2.761095,-0.6143389,0.231843,0.04364549,0,243.3167,0,100
POSITION,3.008389,-0.6143389,0.231843,0.04364549,0,260.1295,0,100
POSITION,3.255416,-0.6143389,0.231843,0.04364549,0,289.4075,0,100
POSITION,3.504378,-0.684668,0.231843,0.08428416,0,301.795,0,100
POSITION,3.75744,-1.155703,0.231843,0.3564645,0,300.8069,0,100
POSITION,4.005652,-1.901803,0.231843,0.7875873,0,300.2758,0,100
POSITION,4.25713,-2.66389,0.231843,1.227948,0,300.1019,0,100
POSITION,4.506857,-3.394065,0.231843,1.682285,0,302.2632,0,100
POSITION,4.754666,-3.784406,0.231843,2.339072,0,322.2189,0,100
POSITION,5.020995,-3.835398,0.231843,3.255525,0,346.9871,0,100
POSITION,5.256046,-3.855469,0.231843,4.077965,0,354.6205,0,100
POSITION,5.507223,-3.876918,0.231843,4.95682,0,357.3317,0,100
POSITION,5.758906,-3.89841,0.231843,5.837454,0,358.1999,0,100
POSITION,6.004401,-3.919373,0.231843,6.696426,0,358.4705,0,100
POSITION,6.254582,-3.940738,0.231843,7.571804,0,358.56,0,100
POSITION,6.507856,-3.962366,0.231843,8.457991,0,358.5887,0,100
POSITION,6.767312,-3.977202,0.231843,9.36592,0,359.0559,0,100
POSITION,7.005437,-3.979403,0.231843,10.19936,0,359.5805,0,100
POSITION,7.255301,-3.981712,0.231843,11.07389,0,359.7625,0,100
POSITION,7.507996,-3.984047,0.231843,11.95832,0,359.8215,0,100
POSITION,7.755018,-3.98633,0.231843,12.82289,0,359.8399,0,100
POSITION,8.00915,-3.988678,0.231843,13.71234,0,359.8459,0,100
POSITION,8.255866,-3.990958,0.231843,14.57584,0,359.8478,0,100
POSITION,8.50749,-3.993284,0.231843,15.45654,0,359.8484,0,100
POSITION,8.757087,-3.99559,0.231843,16.33014,0,359.8486,0,100
POSITION,9.007837,-4.008728,0.231843,17.20371,0,358.9647,0,100
POSITION,9.257247,-4.342502,0.231843,17.94833,0,341.0384,0,100
POSITION,9.523478,-4.977881,0.231843,18.62938,0,324.0501,0,100
POSITION,9.755513,-5.532571,0.231843,19.22256,0,319.3723,0,100
POSITION,10.00512,-6.129271,0.231843,19.86066,0,317.7077,0,100
POSITION,10.25755,-6.732724,0.231843,20.50598,0,317.169,0,100
POSITION,10.5085,-7.332629,0.231843,21.14752,0,316.9997,0,100
POSITION,10.76787,-7.95266,0.231843,21.81058,0,316.9449,0,100
POSITION,11.01868,-8.552238,0.231843,22.45177,0,316.9284,0,100
POSITION,11.25821,-9.124841,0.231843,23.06411,0,316.9232,0,100
POSITION,11.50666,-9.6166,0.231843,23.71837,0,322.7389,0,100
POSITION,11.75537,-9.658265,0.231843,24.44777,0,347.5642,0,100
POSITION,12.01156,-9.295771,0.231843,25.25026,0,13.03493,0,100
POSITION,12.25575,-8.920769,0.231843,26.01827,0,21.78067,0,100
POSITION,12.50711,-8.534753,0.231843,26.80883,0,24.67882,0,100
POSITION,12.75521,-8.153743,0.231843,27.58912,0,25.59178,0,100
POSITION,13.00495,-7.770219,0.231843,28.37457,0,25.88857,0,100
POSITION,13.25785,-7.381856,0.231843,29.16995,0,25.98202,0,100
POSITION,13.50949,-6.995404,0.231843,29.96141,0,26.01157,0,100
POSITION,13.75981,-6.610997,0.231843,30.74868,0,26.02097,0,100
POSITION,14.00764,-6.285841,0.231843,31.54896,0,22.27777,0,100
POSITION,14.27072,-6.045432,0.231843,32.43778,0,17.28295,0,100
POSITION,14.50746,-5.829083,0.231843,33.23765,0,15.86289,0,100
POSITION,14.75956,-5.598705,0.231843,34.08938,0,15.36358,0,100
POSITION,15.01105,-5.368884,0.231843,34.93906,0,15.20759,0,100
POSITION,15.2589,-5.142387,0.231843,35.77645,0,15.1586,0,100
POSITION,15.5075,-4.915205,0.231843,36.61638,0,15.14276,0,100
POSITION,15.75636,-4.687783,0.231843,37.45718,0,15.13768,0,100
POSITION,16.01998,-4.472851,0.231843,38.25182,0,32.302,0,100
POSITION,16.25998,-4.383039,0.231843,38.58386,0,62.42607,0,100
POSITION,16.50753,-4.381404,0.231843,38.5899,0,74.37467,0,100
POSITION,16.76241,-4.381404,0.231843,38.5899,0,74.37467,0,100
POSITION,17.00985,-4.381404,0.231843,38.5899,0,41.9608,0,100
POSITION,17.26058,-4.381404,0.231843,38.5899,0,341.7533,0,100
POSITION,17.50871,-4.381404,0.231843,38.5899,0,315.2219,0,100
POSITION,17.75574,-4.381404,0.231843,38.5899,0,315.2219,0,100
POSITION,18.00913,-4.381404,0.231843,38.5899,0,330.9876,0,100
POSITION,18.25991,-4.381404,0.231843,38.5899,0,0.918436,0,100
POSITION,18.50619,-4.364341,0.231843,38.65299,0,14.92604,0,100
POSITION,18.76062,-4.232795,0.231843,39.15337,0,14.68012,0,100
POSITION,19.01191,-4.133492,0.231843,40.00805,0,8.985988,0,100
POSITION,19.25615,-4.045535,0.231843,40.85835,0,6.91867,0,100
POSITION,19.50886,-3.954528,0.231843,41.73813,0,6.225944,0,100
POSITION,19.7607,-3.863833,0.231843,42.6149,0,6.007348,0,100
POSITION,20.01152,-3.773507,0.231843,43.48811,0,5.937938,0,100
POSITION,20.25771,-3.684847,0.231843,44.34521,0,5.916222,0,100
POSITION,20.52457,-3.588744,0.231843,45.27427,0,5.908819,0,100
POSITION,20.75784,-3.504738,0.231843,46.08638,0,5.906783,0,100
POSITION,21.03154,-3.406173,0.231843,47.03924,0,5.906063,0,100
POSITION,21.26064,-3.323669,0.231843,47.83683,0,5.905875,0,100
POSITION,21.50947,-3.23406,0.231843,48.70311,0,5.905803,0,100
POSITION,21.76035,-3.143713,0.231843,49.57651,0,5.905766,0,100
POSITION,22.01158,-3.115135,0.231843,50.25922,0,0.7037928,0,100
POSITION,22.27712,-3.254787,0.231843,51.17393,0,354.0599,0,100
POSITION,22.52439,-3.386861,0.231843,52.02925,0,352.1233,0,100
POSITION,22.75718,-3.511197,0.231843,52.83447,0,351.5337,0,100
POSITION,23.01021,-3.646343,0.231843,53.70968,0,351.32,0,100
POSITION,23.25537,-3.777287,0.231843,54.55768,0,351.254,0,100
POSITION,23.50793,-3.857423,0.231843,55.42415,0,354.8759,0,100
POSITION,23.75579,-3.568624,0.231843,56.22346,0,13.04243,0,100
POSITION,24.0096,-3.198126,0.231843,57.03082,0,20.99686,0,100
POSITION,24.25986,-2.832805,0.231843,57.8269,0,23.49163,0,100
POSITION,24.5134,-2.462699,0.231843,58.63342,0,24.28659,0,100
POSITION,24.76257,-2.098957,0.231843,59.42607,0,24.53408,0,100
POSITION,25.0092,-1.738939,0.231843,60.2106,0,24.61256,0,100
POSITION,25.25705,-1.377126,0.231843,60.99904,0,24.63806,0,100
POSITION,25.50958,-1.008488,0.231843,61.80236,0,24.64635,0,100
POSITION,25.76091,-0.6415902,0.231843,62.60189,0,24.64901,0,100
POSITION,26.01213,-0.3054453,0.231843,63.40841,0,22.28274,0,100
POSITION,26.26067,-0.2495801,0.231843,64.27144,0,9.052023,0,100
POSITION,26.51195,-0.2211938,0.231843,65.15045,0,4.134602,0,100
POSITION,26.75655,-0.1935615,0.231843,66.00612,0,2.597998,0,100
POSITION,27.00666,-0.1653069,0.231843,66.88107,0,2.088661,0,100
POSITION,27.26043,-0.1366389,0.231843,67.76881,0,1.924626,0,100
POSITION,27.51268,-0.1081426,0.231843,68.65122,0,1.87332,0,100
POSITION,27.75643,-0.08060625,0.231843,69.50391,0,1.857408,0,100
POSITION,28.01291,-0.05163275,0.231843,70.40112,0,1.852033,0,100
POSITION,28.25803,-0.03003851,0.231843,71.25867,0,1.414878,0,100
POSITION,28.51254,-0.02697758,0.231843,72.14943,0,0.578105,0,100
POSITION,28.75743,-0.02403218,0.231843,73.00656,0,0.3212247,0,100
POSITION,29.00688,-0.02103187,0.231843,73.87968,0,0.2366513,0,100
POSITION,29.26269,-0.01795528,0.231843,74.77496,0,0.2092169,0,100
POSITION,29.51035,-0.01497656,0.231843,75.64175,0,0.2008457,0,100
POSITION,29.75842,-0.01199296,0.231843,76.51,0,0.198162,0,100
POSITION,30.00995,-0.008967691,0.231843,77.39037,0,0.1972923,0,100
POSITION,30.25711,-0.00599507,0.231843,78.25542,0,0.1970195,0,100
POSITION,30.51338,0.002603472,0.231843,79.15212,0,0.7368639,0,100
POSITION,30.76327,0.08608534,0.231843,80.02275,0,3.965024,0,100
POSITION,31.00963,0.1620449,0.231843,80.81494,0,19.89104,0,100
POSITION,31.26344,0.1972308,0.231843,81.18186,0,50.06669,0,100
POSITION,31.50726,0.19837,0.231843,81.19375,0,64.16313,0,100
POSITION,31.75952,0.19837,0.231843,81.19375,0,64.16313,0,100
POSITION,32.01115,0.19837,0.231843,81.19375,0,35.60682,0,100
POSITION,32.26253,0.19837,0.231843,81.19375,0,335.4761,0,100
POSITION,32.50779,0.19837,0.231843,81.19375,0,304.7524,0,100
POSITION,32.75665,0.19837,0.231843,81.19375,0,304.7524,0,100
POSITION,33.00679,0.19837,0.231843,81.19375,0,318.0147,0,100
POSITION,33.25908,0.19837,0.231843,81.19375,0,348.075,0,100
POSITION,33.51187,0.2033686,0.231843,81.24588,0,3.951639,0,100
POSITION,33.75788,0.2482556,0.231843,81.714,0,4.747221,0,100
POSITION,34.00772,0.3295378,0.231843,82.56168,0,5.239589,0,100
POSITION,34.25816,0.4131985,0.231843,83.43416,0,5.401584,0,100
