Accuracy,89.83358
Evasion,72.35847
Combats,28
CombatMisses,4
True Accuracy,0.875
InteractionEvents,0
IE Low Time,0
IE Medium Time,0
IE High Time,0
IEPenalty,0
TimeLoss,4.0
AgentTime,572.1924
PlayerDied,False
FinalGoalAchieved,False
