Accuracy,89.83358
Evasion,72.35847
Combats,80
CombatMisses,464
True Accuracy,0.14705882352941177
InteractionEvents,4
IE Low Time,2.0
IE Medium Time,6.0
IE High Time,84.0
IEPenalty,92.0
TimeLoss,556.0
AgentTime,4324.359
PlayerDied,False
FinalGoalAchieved,True
