Accuracy,82.7
Evasion,13.1
Combats,10
CombatMisses,3
True Accuracy,0.7692307692307693
InteractionEvents,0
IE Low Time,0
IE Medium Time,0
IE High Time,0
IEPenalty,0
TimeLoss,3.0
AgentTime,481.3444
PlayerDied,False
FinalGoalAchieved,False
