Accuracy,89.83358
Evasion,72.35847
Combats,5
CombatMisses,31
True Accuracy,0.1388888888888889
InteractionEvents,0
IE Low Time,0
IE Medium Time,0
IE High Time,0
IEPenalty,0
TimeLoss,31.0
AgentTime,120.26289
PlayerDied,False
FinalGoalAchieved,False
