Accuracy,5.2
Evasion,72.35847
Combats,16
CombatMisses,0
True Accuracy,1.0
InteractionEvents,0
IE Low Time,0
IE Medium Time,0
IE High Time,0
IEPenalty,0
TimeLoss,0.0
AgentTime,251.6241
PlayerDied,False
FinalGoalAchieved,False
