HEADER,SAMPLE,4
HEADER,HEURISTICS,EXPERIENCE,0.3098417,CURIOSITY,0.7389257,ACHIEVEMENT,0.09503257,COMPLETION,0.4122779,AGGRESSION,0.2511349,ADRENALINE,0.8104978,CAUTION,0.6085965,EFFICIENCY,0.8636432,
HEADER,Low,1,Med,1,High,1,
POSITION,0.02,-171.1,0.3985095,-84.8,0,316.434,0,100
POSITION,0.2589541,-171.1,0.3985095,-84.8,0,316.434,0,100
POSITION,0.5152253,-171.1,0.3985095,-84.8,0,316.3958,0,100
POSITION,0.7542278,-171.2816,0.3985095,-84.62469,0,315.4524,0,100
POSITION,1.003924,-171.8106,0.3985095,-84.11385,0,314.5325,0,100
POSITION,1.255925,-172.4452,0.3985095,-83.50122,0,314.1663,0,100
POSITION,1.506495,-173.076,0.3985095,-82.89205,0,314.0493,0,100
POSITION,1.755698,-173.5274,0.3985095,-82.45623,0,314.0164,0,100
POSITION,2.005015,-173.6213,0.3985095,-82.36568,0,306.8901,0,100
POSITION,2.255177,-173.3557,0.3985095,-82.62203,0,276.8708,0,100
POSITION,2.506346,-172.7705,0.3985095,-83.18711,0,246.7307,0,100
POSITION,2.755013,-172.1443,0.3985095,-83.79166,0,216.8907,0,100
POSITION,3.005858,-171.5431,0.3985095,-84.37218,0,186.7892,0,100
POSITION,3.255644,-171.2859,0.3985095,-84.84574,0,171.0842,0,100
POSITION,3.504057,-171.5256,0.3985095,-85.3083,0,192.4704,0,100
POSITION,3.755831,-172.2157,0.3985095,-85.75627,0,221.2152,0,100
POSITION,4.005361,-172.9704,0.3985095,-86.19586,0,233.7977,0,100
POSITION,4.254229,-173.723,0.3985095,-86.63431,0,237.8452,0,100
POSITION,4.504101,-174.4787,0.3985095,-87.07452,0,239.1556,0,100
