HEADER,SAMPLE,4
HEADER,HEURISTICS,EXPERIENCE,0.670606,CURIOSITY,0.9025759,ACHIEVEMENT,0.01290894,COMPLETION,0.1426686,AGGRESSION,0.2515565,ADRENALINE,0.2043817,CAUTION,0.89587,EFFICIENCY,0.4634621,
HEADER,Low,1,Med,1,High,1,
POSITION,0.02,0,0.231843,0,0,316.434,0,100
POSITION,0.2620422,0,0.231843,0,0,316.434,0,100
POSITION,0.5066327,0,0.231843,0,0,316.434,0,100
POSITION,0.75869,-0.1096519,0.231843,-0.05703896,0,343.7296,0,100
POSITION,1.006549,0.2201813,0.231843,-0.3234574,0,13.4726,0,100
POSITION,1.257889,1.006433,0.231843,-0.6168153,0,43.63344,0,100
POSITION,1.506042,1.470722,0.231843,-1.205427,0,73.41183,0,100
POSITION,1.758056,1.670783,0.231843,-2.054697,0,103.6535,0,100
POSITION,2.004811,1.852902,0.231843,-2.898918,0,133.264,0,100
POSITION,2.256683,2.038796,0.231843,-3.760648,0,156.3822,0,100
POSITION,2.505227,2.199092,0.231843,-4.545289,0,164.4679,0,100
POSITION,2.758615,2.216094,0.231843,-4.916894,0,171.9726,0,100
POSITION,3.008789,2.078348,0.231843,-4.80419,0,200.0738,0,100
POSITION,3.259182,1.796132,0.231843,-4.212466,0,230.121,0,100
POSITION,3.506711,1.456332,0.231843,-3.415531,0,259.8246,0,100
POSITION,3.764493,1.102457,0.231843,-2.58559,0,290.7584,0,100
POSITION,4.009158,0.7665896,0.231843,-1.797881,0,318.5739,0,100
POSITION,4.255704,0.4281374,0.231843,-1.00411,0,330.9377,0,100
POSITION,4.509459,0.0797893,0.231843,-0.1871296,0,335.026,0,100
POSITION,4.754649,0,0.231843,0,0,335.4909,0,100
POSITION,5.004515,0.004083185,0.231843,0.005726336,0,338.7511,0,100
POSITION,5.259746,0.2068877,0.231843,0.2901433,0,4.912181,0,100
POSITION,5.507637,0.6656139,0.231843,0.9334697,0,24.84655,0,100
POSITION,5.756121,1.102518,0.231843,1.594701,0,29.767,0,100
POSITION,6.007099,1.168369,0.231843,2.002248,0,17.0299,0,100
POSITION,6.255738,0.8265871,0.231843,2.120373,0,347.4381,0,100
POSITION,6.507054,0.08764882,0.231843,1.960145,0,317.2803,0,100
POSITION,6.760688,-0.7663853,0.231843,1.717936,0,286.8442,0,100
POSITION,7.008068,-1.598766,0.231843,1.479601,0,264.9313,0,100
POSITION,7.255733,-2.432105,0.231843,1.240991,0,257.5535,0,100
POSITION,7.505211,-3.271542,0.231843,1.000636,0,255.153,0,100
POSITION,7.757805,-4.121464,0.231843,0.7572776,0,254.3794,0,100
POSITION,8.008435,-4.964774,0.231843,0.5158131,0,254.1362,0,100
POSITION,8.256842,-5.800615,0.231843,0.2764876,0,254.0589,0,100
POSITION,8.59242,-6.929761,0.231843,-0.04681974,0,254.029,0,100
POSITION,8.758849,-7.48977,0.231843,-0.2071669,0,254.0253,0,100
POSITION,9.011847,-8.341055,0.231843,-0.4509149,0,254.023,0,100
POSITION,9.257122,-9.16636,0.231843,-0.6872237,0,254.0224,0,100
POSITION,9.508775,-10.01311,0.231843,-0.9296735,0,254.0222,0,100
POSITION,9.757801,-10.85103,0.231843,-1.169594,0,254.0222,0,100
POSITION,10.00744,-11.69099,0.231843,-1.4101,0,254.0222,0,100
POSITION,10.25789,-12.53371,0.231843,-1.651393,0,254.0222,0,100
POSITION,10.50711,-13.37231,0.231843,-1.89151,0,254.0221,0,100
POSITION,10.75613,-14.2102,0.231843,-2.131422,0,254.0221,0,100
POSITION,11.00599,-15.05091,0.231843,-2.372143,0,254.0221,0,100
POSITION,11.25879,-15.90153,0.231843,-2.615701,0,254.0221,0,100
POSITION,11.50858,-16.74204,0.231843,-2.856362,0,254.0221,0,100
POSITION,11.75569,-17.57349,0.231843,-3.094433,0,254.0221,0,100
POSITION,12.01031,-18.43026,0.231843,-3.33975,0,254.0221,0,100
POSITION,12.25867,-19.26592,0.231843,-3.579024,0,254.0221,0,100
POSITION,12.50707,-20.10175,0.231843,-3.818347,0,254.0221,0,100
POSITION,12.75909,-20.94972,0.231843,-4.061144,0,254.0221,0,100
POSITION,13.00877,-21.78984,0.231843,-4.301694,0,254.0221,0,100
POSITION,13.25834,-22.62961,0.231843,-4.542144,0,254.0221,0,100
POSITION,13.50455,-23.45806,0.231843,-4.779355,0,254.0221,0,100
POSITION,13.76346,-24.32922,0.231843,-5.02879,0,254.0221,0,100
POSITION,14.00678,-25.14794,0.231843,-5.263217,0,254.0221,0,100
POSITION,14.26068,-25.9937,0.231843,-5.505383,0,259.3557,0,100
POSITION,14.51091,-26.50421,0.231843,-5.651555,0,289.3438,0,100
POSITION,14.75547,-26.57949,0.231843,-5.673111,0,313.7015,0,100
POSITION,15.00511,-26.57949,0.231843,-5.673111,0,313.7015,0,100
POSITION,15.25777,-26.57949,0.231843,-5.673111,0,304.5104,0,100
POSITION,15.51347,-26.57949,0.231843,-5.673111,0,246.2963,0,100
POSITION,15.75518,-26.57949,0.231843,-5.673111,0,194.8639,0,100
POSITION,16.0052,-26.57949,0.231843,-5.673111,0,194.8639,0,100
POSITION,16.25444,-26.57949,0.231843,-5.673111,0,198.2103,0,100
POSITION,16.5053,-26.57949,0.231843,-5.673111,0,228.3125,0,100
POSITION,16.75918,-26.58497,0.231843,-5.67468,0,253.6841,0,100
POSITION,17.00587,-26.89098,0.231843,-5.762299,0,253.8325,0,100
POSITION,17.25677,-27.64535,0.231843,-5.978297,0,253.9558,0,100
POSITION,17.50588,-28.48351,0.231843,-6.21829,0,254.0007,0,100
POSITION,17.75741,-29.32985,0.231843,-6.460623,0,254.0153,0,100
POSITION,18.00816,-30.17357,0.231843,-6.702207,0,254.0199,0,100
POSITION,18.25471,-31.00317,0.231843,-6.939744,0,254.0213,0,100
POSITION,18.50775,-31.85458,0.231843,-7.183528,0,254.0218,0,100
POSITION,18.75561,-32.54479,0.231843,-7.522348,0,245.3241,0,100
POSITION,19.00452,-32.81264,0.231843,-8.101264,0,219.2621,0,100
POSITION,19.2552,-32.61028,0.231843,-8.840998,0,189.1811,0,100
POSITION,19.50452,-32.30028,0.231843,-9.639233,0,171.2731,0,100
POSITION,19.75447,-32.26422,0.231843,-10.51215,0,175.7256,0,100
POSITION,20.00688,-32.23306,0.231843,-11.39505,0,177.2645,0,100
POSITION,20.25922,-32.20192,0.231843,-12.2777,0,177.7524,0,100
POSITION,20.50517,-32.17156,0.231843,-13.13799,0,177.9051,0,100
POSITION,20.75521,-32.14071,0.231843,-14.01259,0,177.9554,0,100
POSITION,21.00953,-32.1093,0.231843,-14.90219,0,177.9716,0,100
POSITION,21.25546,-32.07895,0.231843,-15.76242,0,177.9768,0,100
POSITION,21.50654,-32.04796,0.231843,-16.64066,0,177.9785,0,100
POSITION,21.75731,-32.03218,0.231843,-17.51811,0,178.84,0,100
POSITION,22.01292,-32.02879,0.231843,-18.41274,0,179.4884,0,100
POSITION,22.25617,-32.02556,0.231843,-19.26409,0,179.6856,0,100
POSITION,22.50716,-32.02222,0.231843,-20.14255,0,179.7517,0,100
POSITION,22.7552,-32.01893,0.231843,-21.01067,0,179.7727,0,100
POSITION,23.00578,-32.0156,0.231843,-21.88771,0,179.7795,0,100
POSITION,23.2592,-32.01224,0.231843,-22.77467,0,179.7816,0,100
POSITION,23.50598,-32.00895,0.231843,-23.63838,0,179.7824,0,100
POSITION,23.75771,-32.0056,0.231843,-24.51942,0,179.7827,0,100
POSITION,24.0089,-31.95606,0.231843,-25.39038,0,176.5823,0,100
POSITION,24.2582,-31.65633,0.231843,-26.20826,0,165.0418,0,100
POSITION,24.50671,-31.34869,0.231843,-27.0218,0,161.1465,0,100
POSITION,24.75454,-31.0419,0.231843,-27.83312,0,159.8885,0,100
POSITION,25.00547,-30.73126,0.231843,-28.65459,0,159.4774,0,100
POSITION,25.26272,-30.41279,0.231843,-29.49676,0,159.3454,0,100
INTERACTION,25.34722,Bag_02_Green (4),-29.96001,0.860885,-30.69414,100
POSITION,25.51209,-30.10409,0.231843,-30.31312,0,159.3051,0,100
POSITION,25.83675,-29.96003,0.231843,-30.68957,0,146.8755,0,100
POSITION,26.00803,-29.9612,0.231843,-30.43426,0,126.3224,0,100
POSITION,26.25604,-29.96468,0.231843,-29.67809,0,96.56064,0,100
POSITION,26.50629,-29.96871,0.231843,-28.80222,0,66.53055,0,100
POSITION,26.75842,-29.97277,0.231843,-27.91977,0,36.27433,0,100
POSITION,27.00558,-29.97675,0.231843,-27.05472,0,12.30694,0,100
POSITION,27.25709,-29.9808,0.231843,-26.17446,0,3.62904,0,100
POSITION,27.51835,-29.985,0.231843,-25.26004,0,0.9152263,0,100
POSITION,27.75606,-29.98883,0.231843,-24.42806,0,0.1354949,0,100
POSITION,28.00611,-29.99286,0.231843,-23.55291,0,359.864,0,100
POSITION,28.25873,-29.99572,0.231843,-22.66872,0,359.8576,0,100
POSITION,28.50519,-29.99614,0.231843,-21.80607,0,359.9346,0,100
POSITION,28.75773,-29.99657,0.231843,-20.9222,0,359.9599,0,100
POSITION,29.00518,-29.997,0.231843,-20.05613,0,359.9678,0,100
POSITION,29.2575,-29.99742,0.231843,-19.173,0,359.9703,0,100
POSITION,29.51089,-29.99786,0.231843,-18.28614,0,359.971,0,100
POSITION,29.7618,-29.99829,0.231843,-17.40796,0,359.9713,0,100
POSITION,30.0127,-29.99872,0.231843,-16.52983,0,359.9712,0,100
POSITION,30.256,-29.99915,0.231843,-15.67828,0,359.9711,0,100
POSITION,30.50958,-29.99952,0.231843,-14.79075,0,359.9767,0,100
POSITION,30.75726,-29.99956,0.231843,-13.92385,0,359.9903,0,100
POSITION,31.00896,-29.9996,0.231843,-13.04288,0,-0.005271306,0,100
POSITION,31.25998,-29.99966,0.231843,-12.16433,0,-0.003877884,0,100
POSITION,31.50656,-29.9997,0.231843,-11.30131,0,-0.0033934,0,100
POSITION,31.75858,-29.99975,0.231843,-10.41926,0,-0.003321754,0,100
POSITION,32.00996,-29.9998,0.231843,-9.53947,0,-0.003325287,0,100
POSITION,32.25647,-29.99986,0.231843,-8.676675,0,-0.003166594,0,100
POSITION,32.50776,-29.9999,0.231843,-7.797171,0,-0.003270965,0,100
POSITION,32.76114,-29.99995,0.231843,-6.910336,0,-0.002934573,0,100
POSITION,33.01092,-29.99995,0.231843,-6.036093,0,-0.001169619,0,100
POSITION,33.2552,-29.99995,0.231843,-5.181119,0,-0.0006375538,0,100
POSITION,33.5059,-29.99995,0.231843,-4.303672,0,-0.0004938922,0,100
POSITION,33.76301,-29.99995,0.231843,-3.403854,0,-0.0004930646,0,100
POSITION,34.00747,-29.99995,0.231843,-2.548243,0,-0.000551494,0,100
POSITION,34.25915,-29.99995,0.231843,-1.667359,0,-0.0006574045,0,100
POSITION,34.5074,-29.99995,0.231843,-0.7985057,0,-0.0008241967,0,100
POSITION,34.75819,-29.99995,0.231843,0.07930133,0,-0.001103321,0,100
POSITION,35.01236,-29.99996,0.231843,0.9689209,0,-0.001704919,0,100
POSITION,35.25687,-29.86108,0.231843,1.809141,0,7.296784,0,100
POSITION,35.51174,-29.66343,0.231843,2.679014,0,11.07935,0,100
POSITION,35.75989,-29.47099,0.231843,3.526005,0,12.24633,0,100
POSITION,36.00837,-29.27829,0.231843,4.37408,0,12.62246,0,100
POSITION,36.26036,-29.08288,0.231843,5.234129,0,12.7445,0,100
POSITION,36.50826,-28.89064,0.231843,6.080183,0,12.78281,0,100
POSITION,36.75799,-28.69698,0.231843,6.932485,0,12.79522,0,100
POSITION,37.00616,-28.50454,0.231843,7.779457,0,12.79922,0,100
POSITION,37.26366,-28.30485,0.231843,8.658325,0,12.80048,0,100
POSITION,37.50967,-28.05989,0.231843,9.449418,0,17.14788,0,100
POSITION,37.75871,-27.48896,0.231843,9.948786,0,40.11546,0,100
POSITION,38.01337,-26.64126,0.231843,10.19536,0,63.5139,0,100
POSITION,38.26741,-25.78321,0.231843,10.42852,0,71.73559,0,100
POSITION,38.50866,-24.96834,0.231843,10.64995,0,73.77657,0,100
POSITION,38.75567,-24.13405,0.231843,10.87665,0,74.46783,0,100
POSITION,39.00744,-23.28368,0.231843,11.10772,0,74.69299,0,100
POSITION,39.25776,-22.43824,0.231843,11.33746,0,74.76447,0,100
POSITION,39.50755,-21.59454,0.231843,11.56671,0,74.78728,0,100
POSITION,39.7629,-20.73732,0.231843,11.81512,0,73.52143,0,100
POSITION,40.00893,-19.96027,0.231843,12.18594,0,67.36716,0,100
POSITION,40.26147,-19.16315,0.231843,12.56787,0,65.33517,0,100
POSITION,40.50705,-18.38802,0.231843,12.93926,0,64.70335,0,100
POSITION,40.75566,-17.6033,0.231843,13.31525,0,64.49725,0,100
POSITION,41.01043,-16.79918,0.231843,13.70054,0,64.42992,0,100
POSITION,41.25899,-16.01464,0.231843,14.07644,0,64.4091,0,100
POSITION,41.50708,-15.23156,0.231843,14.45164,0,64.4024,0,100
POSITION,41.75545,-14.44759,0.231843,14.82727,0,64.40024,0,100
POSITION,42.00577,-13.65746,0.231843,15.20585,0,64.39954,0,100
POSITION,42.25793,-12.86141,0.231843,15.58684,0,64.45576,0,100
POSITION,42.50813,-12.01326,0.231843,15.72803,0,77.03416,0,100
POSITION,42.75639,-11.14484,0.231843,15.7575,0,84.48971,0,100
POSITION,43.00931,-10.26017,0.231843,15.78753,0,86.9285,0,100
POSITION,43.25469,-9.401855,0.231843,15.81666,0,87.68686,0,100
POSITION,43.50482,-8.526908,0.231843,15.84636,0,87.93776,0,100
POSITION,43.75676,-7.645667,0.231843,15.87627,0,88.01849,0,100
POSITION,44.00535,-6.776094,0.231843,15.90578,0,88.04397,0,100
POSITION,44.25773,-5.893271,0.231843,15.93574,0,88.05221,0,100
POSITION,44.50795,-5.017989,0.231843,15.96545,0,88.05484,0,100
POSITION,44.75766,-4.144097,0.231843,15.97048,0,89.1997,0,100
POSITION,45.00615,-3.490886,0.231843,15.97285,0,116.8609,0,100
POSITION,45.25759,-3.322954,0.231843,15.97347,0,146.929,0,100
POSITION,45.5086,-3.322954,0.231843,15.97347,0,148.7175,0,100
POSITION,45.76007,-3.322954,0.231843,15.97347,0,148.7175,0,100
POSITION,46.00782,-3.322954,0.231843,15.97347,0,94.2814,0,100
POSITION,46.25579,-3.322954,0.231843,15.97347,0,34.74061,0,100
POSITION,46.50732,-3.322954,0.231843,15.97347,0,29.52571,0,100
POSITION,46.75614,-3.322954,0.231843,15.97347,0,29.52571,0,100
POSITION,47.00839,-3.322954,0.231843,15.97347,0,55.86581,0,100
POSITION,47.25939,-3.322954,0.231843,15.97347,0,86.13223,0,100
POSITION,47.51102,-3.118752,0.231843,15.97421,0,89.30405,0,100
POSITION,47.75932,-2.429392,0.231843,15.9767,0,89.60513,0,100
POSITION,48.00809,-1.558671,0.231843,15.97986,0,89.73215,0,100
POSITION,48.25885,-0.6810379,0.231843,15.98304,0,89.77319,0,100
POSITION,48.50645,0.1855402,0.231843,15.98617,0,89.78615,0,100
POSITION,48.75695,1.06226,0.231843,15.98935,0,89.79037,0,100
POSITION,49.00982,1.919128,0.231843,15.99768,0,89.36041,0,100
POSITION,49.26083,2.381575,0.231843,16.07611,0,83.28397,0,100
POSITION,49.5088,2.350264,0.231843,16.24109,0,57.51321,0,100
POSITION,49.75671,1.834023,0.231843,16.49205,0,27.7642,0,100
POSITION,50.00932,1.008676,0.231843,16.80046,0,357.4508,0,100
POSITION,50.26384,0.1740145,0.231843,17.11173,0,326.9086,0,100
POSITION,50.50917,-0.6304868,0.231843,17.41175,0,303.0823,0,100
POSITION,50.75768,-1.445417,0.231843,17.71566,0,294.5168,0,100
POSITION,51.01317,-2.283283,0.231843,18.02814,0,291.7166,0,100
POSITION,51.25843,-3.087584,0.231843,18.32809,0,290.8643,0,100
POSITION,51.51098,-3.915801,0.231843,18.63696,0,290.5822,0,100
POSITION,51.763,-4.7423,0.231843,18.94519,0,290.4931,0,100
POSITION,52.0092,-5.549618,0.231843,19.24626,0,290.4654,0,100
POSITION,52.2617,-6.377642,0.231843,19.55506,0,290.4563,0,100
POSITION,52.51186,-7.198041,0.231843,19.86101,0,290.4535,0,100
POSITION,52.75982,-8.011147,0.231843,20.16425,0,290.4526,0,100
POSITION,53.00531,-8.816221,0.231843,20.46448,0,290.4523,0,100
POSITION,53.25603,-9.638483,0.231843,20.77112,0,290.4523,0,100
POSITION,53.53895,-10.5663,0.231843,21.11714,0,290.4522,0,100
POSITION,53.76039,-11.29249,0.231843,21.38796,0,290.4522,0,100
POSITION,54.00649,-12.09958,0.231843,21.68895,0,290.4522,0,100
POSITION,54.25815,-12.92485,0.231843,21.99672,0,290.4522,0,100
POSITION,54.50599,-13.73759,0.231843,22.29982,0,290.4522,0,100
POSITION,54.77571,-14.62214,0.231843,22.6297,0,290.4522,0,100
POSITION,55.00794,-15.38369,0.231843,22.9137,0,290.4522,0,100
POSITION,55.27499,-16.25945,0.231843,23.2403,0,290.4522,0,100
POSITION,55.51015,-17.03064,0.231843,23.52791,0,290.4522,0,100
POSITION,55.76136,-17.85449,0.231843,23.83515,0,290.4522,0,100
POSITION,56.00829,-18.66421,0.231843,24.13712,0,290.4522,0,100
POSITION,56.26039,-19.49094,0.231843,24.44543,0,290.4522,0,100
POSITION,56.50868,-20.30519,0.231843,24.74909,0,290.4522,0,100
